MAC,HOSTNAME,DESCRIPTION,SSID,NASID
000F92FA38D9,VanTaxi075,1590000075,Vancouver Taxi Guest,VanTaxi075
000F92FA37A8,VanTaxi076,1590000076,Vancouver Taxi Guest,VanTaxi076
000F92FA3812,VanTaxi077,1590000077,Vancouver Taxi Guest,VanTaxi077
000F92FA37AB,VanTaxi078,1590000078,Vancouver Taxi Guest,VanTaxi078
000F92FA3785,VanTaxi079,1590000079,Vancouver Taxi Guest,VanTaxi079
000F92FE00C6,VanTaxi080,1590000080,Vancouver Taxi Guest,VanTaxi080
000F92FA38FB,MacLures001,1630000001,MacLures Cab Guest,MacLures001
000F92FA38B8,MacLures002,1630000002,MacLures Cab Guest,MacLures002
000F92FA38BF,MacLures003,1630000003,MacLures Cab Guest,MacLures003
000F92FA384F,MacLures004,1630000004,MacLures Cab Guest,MacLures004
000F92FA3814,MacLures005,1630000005,MacLures Cab Guest,MacLures005
000F92FE01C7,MacLures006,1630000006,MacLures Cab Guest,MacLures006
000F92FE02AB,MacLures007,1630000007,MacLures Cab Guest,MacLures007
000F92FA3848,MacLures008,1630000008,MacLures Cab Guest,MacLures008
000F92FA37E3,MacLures009,1630000009,MacLures Cab Guest,MacLures009
000F92FA3886,MacLures010,1630000010,MacLures Cab Guest,MacLures010
000F92FA3916,MacLures011,1630000011,MacLures Cab Guest,MacLures011
000F92FA3942,MacLures012,1630000012,MacLures Cab Guest,MacLures012
000F92FE016F,MacLures013,1630000013,MacLures Cab Guest,MacLures013
000F92FA3846,MacLures014,1630000014,MacLures Cab Guest,MacLures014
000F92FA3915,MacLures015,1630000015,MacLures Cab Guest,MacLures015
000F92FE01A5,MacLures016,1630000016,MacLures Cab Guest,MacLures016
000F92FE0316,MacLures017,1630000017,MacLures Cab Guest,MacLures017
000F92FA37A4,MacLures018,1630000018,MacLures Cab Guest,MacLures018
000F92FE02BD,MacLures019,1630000019,MacLures Cab Guest,MacLures019
000F92FE01A2,MacLures020,1630000020,MacLures Cab Guest,MacLures020
000F92FE02AF,MacLures021,1630000021,MacLures Cab Guest,MacLures021
000F92FE02AA,MacLures022,1630000022,MacLures Cab Guest,MacLures022
000F92FE0322,MacLures023,1630000023,MacLures Cab Guest,MacLures023
000F92FA3806,MacLures024,1630000024,MacLures Cab Guest,MacLures024
000F92FE0160,MacLures025,1630000025,MacLures Cab Guest,MacLures025
000F92FA379E,MacLures026,1630000026,MacLures Cab Guest,MacLures026
000F92FA38D5,MacLures027,1630000027,MacLures Cab Guest,MacLures027
000F92FA38B5,MacLures028,1630000028,MacLures Cab Guest,MacLures028
000F92FE031A,MacLures029,1630000029,MacLures Cab Guest,MacLures029
000F92FA37C0,MacLures030,1630000030,MacLures Cab Guest,MacLures030
000F92FA37BF,MacLures031,1630000031,MacLures Cab Guest,MacLures031
000F92FA383D,MacLures032,1630000032,MacLures Cab Guest,MacLures032
000F92FA37A2,MacLures033,1630000033,MacLures Cab Guest,MacLures033
000F92FA38AB,MacLures034,1630000034,MacLures Cab Guest,MacLures034
000F92FA3862,MacLures035,1630000035,MacLures Cab Guest,MacLures035
000F92FA394F,MacLures036,1630000036,MacLures Cab Guest,MacLures036
000F92FA38B3,MacLures037,1630000037,MacLures Cab Guest,MacLures037
000F92FA384C,MacLures038,1630000038,MacLures Cab Guest,MacLures038
000F92FA3913,MacLures039,1630000039,MacLures Cab Guest,MacLures039
000F92FA38C8,MacLures040,1630000040,MacLures Cab Guest,MacLures040
000F92FA3877,MacLures041,1630000041,MacLures Cab Guest,MacLures041
000F92FA385B,MacLures042,1630000042,MacLures Cab Guest,MacLures042
000F92FA37BE,MacLures043,1630000043,MacLures Cab Guest,MacLures043
000F92FE02C7,MacLures044,1630000044,MacLures Cab Guest,MacLures044
000F92FA3953,MacLures045,1630000045,MacLures Cab Guest,MacLures045
000F92FE0317,MacLures046,1630000046,MacLures Cab Guest,MacLures046
000F92FE0163,MacLures047,1630000047,MacLures Cab Guest,MacLures047
000F92FE0199,MacLures048,1630000048,MacLures Cab Guest,MacLures048
000F92FE02A5,MacLures049,1630000049,MacLures Cab Guest,MacLures049
000F92FE02AD,MacLures050,1630000050,MacLures Cab Guest,MacLures050
000F92FA37D2,MacLures051,1630000051,MacLures Cab Guest,MacLures051
000F92FA391D,MacLures052,1630000052,MacLures Cab Guest,MacLures052
000F92FE02B2,MacLures053,1630000053,MacLures Cab Guest,MacLures053
000F92FE020E,MacLures054,1630000054,MacLures Cab Guest,MacLures054
000F92FA3802,MacLures055,1630000055,MacLures Cab Guest,MacLures055
000F92FA37E4,MacLures056,1630000056,MacLures Cab Guest,MacLures056
000F92FA38E6,MacLures057,1630000057,MacLures Cab Guest,MacLures057
000F92FA3869,MacLures058,1630000058,MacLures Cab Guest,MacLures058
000F92FA3893,MacLures059,1630000059,MacLures Cab Guest,MacLures059
000F92FE0169,MacLures060,1630000060,MacLures Cab Guest,MacLures060
000F92FA37DC,MacLures061,1630000061,MacLures Cab Guest,MacLures061
000F92FA38CF,MacLures062,1630000062,MacLures Cab Guest,MacLures062
000F92FA3917,MacLures063,1630000063,MacLures Cab Guest,MacLures063
000F92FA38FE,MacLures064,1630000064,MacLures Cab Guest,MacLures064
000F92FA385E,MacLures065,1630000065,MacLures Cab Guest,MacLures065
000F92FE0242,MacLures066,1630000066,MacLures Cab Guest,MacLures066
000F92FA38C6,MacLures067,1630000067,MacLures Cab Guest,MacLures067
000F92FE02D2,MacLures068,1630000068,MacLures Cab Guest,MacLures068
000F92FE02D6,MacLures069,1630000069,MacLures Cab Guest,MacLures069
000F92FA3837,MacLures070,1630000070,MacLures Cab Guest,MacLures070
000F92FA37F2,MacLures071,1630000071,MacLures Cab Guest,MacLures071
000F92FA3791,MacLures072,1630000072,MacLures Cab Guest,MacLures072
000F92FA37DA,MacLures073,1630000073,MacLures Cab Guest,MacLures073
000F92FE015F,MacLures074,1630000074,MacLures Cab Guest,MacLures074
000F92FA3796,MacLures075,1630000075,MacLures Cab Guest,MacLures075
000F92FE02C1,MacLures076,1630000076,MacLures Cab Guest,MacLures076
000F92FA38CA,MacLures077,1630000077,MacLures Cab Guest,MacLures077
000F92FA386E,MacLures078,1630000078,MacLures Cab Guest,MacLures078
000F92FA37E9,MacLures079,1630000079,MacLures Cab Guest,MacLures079
000F92FA391B,MacLures080,1630000080,MacLures Cab Guest,MacLures080
000F92FA3950,MacLures081,1630000081,MacLures Cab Guest,MacLures081
000F92FE02A4,MacLures082,1630000082,MacLures Cab Guest,MacLures082
000F92FA3864,MacLures083,1630000083,MacLures Cab Guest,MacLures083
000F92FA3909,MacLures084,1630000084,MacLures Cab Guest,MacLures084
000F92FA391C,MacLures085,1630000085,MacLures Cab Guest,MacLures085
000F92FA38AD,MacLures086,1630000086,MacLures Cab Guest,MacLures086
000F92FE01A4,MacLures087,1630000087,MacLures Cab Guest,MacLures087
000F92FE02D3,MacLures088,1630000088,MacLures Cab Guest,MacLures088
000F92FA37E8,MacLures089,1630000089,MacLures Cab Guest,MacLures089
000F92FA38B1,MacLures090,1630000090,MacLures Cab Guest,MacLures090
000F92FA3919,MacLures091,1630000091,MacLures Cab Guest,MacLures091
000F92FA3863,MacLures092,1630000092,MacLures Cab Guest,MacLures092
000F92FA3880,MacLures093,1630000093,MacLures Cab Guest,MacLures093
000F92FA38C3,MacLures094,1630000094,MacLures Cab Guest,MacLures094
000F92FE0276,MacLures095,1630000095,MacLures Cab Guest,MacLures095
